2026-02-17T06:10:26.947Z | POST /api/bill/status | 401 | 3ms | ::1
2026-02-17T06:10:42.392Z | POST /api/bill/status | 200 | 175ms | ::1
2026-02-17T06:16:37.638Z | POST /api/bill/status | 200 | 316ms | ::1
2026-02-17T06:18:14.041Z | GET /api/bill/operators | 200 | 350ms | ::1
2026-02-17T06:18:53.939Z | POST /api/bill/fetch | 200 | 176ms | ::1
2026-02-17T06:19:29.338Z | POST /api/bill/pay | 500 | 8ms | ::1
2026-02-17T06:20:23.504Z | POST /api/bill/pay | 400 | 24ms | ::1
2026-02-17T06:20:47.359Z | POST /api/bill/pay | 400 | 9ms | ::1
2026-02-17T06:20:49.365Z | POST /api/bill/pay | 400 | 5ms | ::1
2026-02-17T06:22:08.977Z | POST /api/bill/pay | 200 | 267ms | ::1
2026-02-17T06:23:59.499Z | POST /api/bill/status | 200 | 155ms | ::1
2026-02-17T09:05:58.552Z | POST /api/bill/pay | 400 | 144ms | ::1
2026-02-17T09:21:34.426Z | POST /api/operators/sync-bill-operators | 500 | 389ms | ::1
2026-02-17T09:48:20.266Z | POST /api/operators/sync-bill-operators | 500 | 401ms | ::1
2026-02-17T09:48:30.879Z | POST /api/operators/sync-bill-operators | 500 | 77ms | ::1
2026-02-17T09:50:26.413Z | POST /api/operators/sync-bill-operators | 500 | 392ms | ::1
2026-02-17T09:50:44.816Z | POST /api/operators/sync-bill-operators | 500 | 155ms | ::1
2026-02-17T09:56:21.105Z | POST /api/operators/sync-bill-operators | 500 | 540ms | ::1
2026-02-17T10:01:18.793Z | POST /api/operators/sync-bill-operators | 200 | 1464ms | ::1
2026-02-17T10:05:40.802Z | POST /api/operators/sync-bill-operators | 200 | 1973ms | ::1
2026-02-17T10:09:06.190Z | POST /api/operators/sync-bill-operators | 200 | 2041ms | ::1
2026-02-17T10:12:12.229Z | POST /api/operators/sync-bill-operators | 200 | 1952ms | ::1
2026-02-17T10:13:58.013Z | POST /api/operators/sync-bill-operators | 200 | 1791ms | ::1
2026-02-18T05:38:20.754Z | POST /api/operators/sync-bill-operators | 200 | 1982ms | ::1
2026-02-18T05:53:42.661Z | POST /api/aadhar/enroll | 401 | 35ms | ::1
2026-02-18T05:54:03.886Z | POST /api/aadhar/enroll | 201 | 44ms | ::1
2026-02-18T06:25:16.145Z | POST /api/eseva/apply | 500 | 36ms | ::1
2026-02-18T06:26:12.672Z | POST /api/eseva/apply | 201 | 27ms | ::1
2026-02-18T08:30:00.037Z | GET /api/eseva/list | 200 | 103ms | ::1
2026-02-18T08:30:34.120Z | GET /api/eseva/details/1 | 200 | 24ms | ::1
2026-02-18T08:31:42.170Z | GET /api/eseva/requirements | 200 | 4ms | ::1
2026-02-18T08:32:39.461Z | GET /api/eseva/requirements | 401 | 2ms | ::1
2026-02-18T08:34:48.827Z | GET /api/eseva/requirements | 200 | 6ms | ::1
2026-02-18T10:53:13.159Z | GET /api/user/profile | 304 | 14ms | ::ffff:192.168.1.8
2026-02-18T10:53:21.061Z | GET /api/user/profile | 304 | 2ms | ::ffff:192.168.1.8
2026-02-18T10:53:50.092Z | GET /api/banking/accounts | 200 | 7ms | ::ffff:192.168.1.8
2026-02-18T10:53:52.120Z | GET /api/banking/bank-list | 304 | 344ms | ::ffff:192.168.1.8
2026-02-18T10:57:46.826Z | POST /api/banking/add-account | 200 | 32ms | ::ffff:192.168.1.8
2026-02-18T10:57:46.945Z | POST /api/banking/verify-account | 200 | 25ms | ::ffff:192.168.1.8
2026-02-18T10:58:03.423Z | POST /api/banking/verify-otp | 400 | 11ms | ::ffff:192.168.1.8
2026-02-18T10:58:39.294Z | POST /api/banking/verify-otp | 200 | 25ms | ::ffff:192.168.1.8
2026-02-18T10:58:41.511Z | GET /api/banking/accounts | 200 | 10ms | ::ffff:192.168.1.8
2026-02-18T11:00:44.445Z | GET /api/banking/bank-list | 304 | 611ms | ::ffff:192.168.1.8
2026-02-18T11:01:21.417Z | POST /api/banking/add-account | 500 | 20ms | ::ffff:192.168.1.8
2026-02-18T11:01:30.846Z | POST /api/banking/add-account | 200 | 7ms | ::ffff:192.168.1.8
2026-02-18T11:01:30.897Z | POST /api/banking/verify-account | 200 | 8ms | ::ffff:192.168.1.8
2026-02-18T11:01:54.766Z | POST /api/banking/verify-otp | 200 | 17ms | ::ffff:192.168.1.8
2026-02-18T11:01:59.130Z | GET /api/banking/accounts | 200 | 6ms | ::ffff:192.168.1.8
2026-02-18T11:02:04.789Z | DELETE /api/banking/remove-account | 200 | 15ms | ::ffff:192.168.1.8
2026-02-18T11:02:09.443Z | DELETE /api/banking/remove-account | 200 | 8ms | ::ffff:192.168.1.8
2026-02-18T11:02:40.370Z | GET /api/user/profile | 304 | 7ms | ::ffff:192.168.1.8
2026-02-18T11:02:40.373Z | GET /api/user/profile | 304 | 8ms | ::ffff:192.168.1.8
2026-02-18T11:05:15.175Z | GET /api/banking/bank-list | 304 | 430ms | ::ffff:192.168.1.8
2026-02-18T11:05:15.180Z | GET /api/banking/bank-list | 304 | 419ms | ::ffff:192.168.1.8
2026-02-18T11:05:47.532Z | POST /api/banking/add-account | 200 | 12ms | ::ffff:192.168.1.8
2026-02-18T11:05:47.539Z | POST /api/banking/add-account | 500 | 16ms | ::ffff:192.168.1.8
2026-02-18T11:05:49.278Z | POST /api/banking/verify-account | 200 | 14ms | ::ffff:192.168.1.8
2026-02-18T11:06:05.060Z | POST /api/banking/verify-otp | 200 | 19ms | ::ffff:192.168.1.8
2026-02-18T11:06:09.770Z | GET /api/banking/accounts | 200 | 6ms | ::ffff:192.168.1.8
2026-02-18T11:06:24.993Z | DELETE /api/banking/remove-account | 200 | 9ms | ::ffff:192.168.1.8
2026-02-18T11:06:34.205Z | DELETE /api/banking/remove-account | 200 | 9ms | ::ffff:192.168.1.8
2026-02-18T11:10:30.554Z | GET /api/banking/bank-list | 304 | 335ms | ::ffff:192.168.1.8
2026-02-18T11:16:42.653Z | GET /api/recharge/mobile-operators | 200 | 32ms | ::ffff:192.168.1.8
2026-02-18T11:17:06.318Z | GET /api/recharge/mobile-operators | 304 | 5ms | ::ffff:192.168.1.8
2026-02-18T11:17:43.037Z | GET /api/recharge/mobile-operators | 304 | 4ms | ::ffff:192.168.1.8
2026-02-21T03:47:58.269Z | POST /api/auth/send-otp | 200 | 17ms | ::1
2026-02-21T03:58:24.128Z | POST /api/auth/send-otp | 200 | 30ms | ::ffff:192.168.1.8
2026-02-21T04:00:51.572Z | POST /api/auth/verify-otp | 200 | 170ms | ::ffff:192.168.1.8
2026-02-21T04:14:57.459Z | POST /api/recharge/mobile | 400 | 21ms | ::ffff:192.168.1.8
2026-02-21T04:15:01.812Z | POST /api/recharge/operators | 200 | 391ms | ::ffff:192.168.1.8
2026-02-21T04:15:56.219Z | POST /api/recharge/mobile | 400 | 4ms | ::ffff:192.168.1.8
2026-02-21T04:21:37.306Z | POST /api/recharge/operators | 200 | 320ms | ::ffff:192.168.1.8
2026-02-21T04:21:48.263Z | POST /api/recharge/mobile | 400 | 4ms | ::ffff:192.168.1.8
2026-02-21T04:22:00.007Z | POST /api/recharge/mobile | 400 | 5ms | ::ffff:192.168.1.8
